,COSMIC_ID,gene_expr,AUC
63,1240223,3.505404448,0.882215
64,1240226,3.252216597,0.71205
65,1247871,4.728433945,0.706064
66,1290455,4.42294887,0.74147
67,1290722,3.284124317,0.735115
68,1290724,3.313470233,0.796337
69,1290730,3.218861261,0.75988
70,1290765,3.289776793,0.724857
71,1290769,3.264981595,0.72192
72,1290795,3.341326574,0.663922
73,1290797,3.569653022,0.734666
74,1290798,3.155429935,0.657426
75,1290806,4.834983827,0.797417
76,1290807,3.060345561,0.788337
77,1290808,3.23666473,0.775635
78,1290809,3.000370342,0.728733
79,1290810,3.006414401,0.855887
80,1290812,3.094069001,0.763016
81,1290813,2.987615069,0.745589
82,1290814,3.098559303,0.710639
83,1290905,3.250019216,0.879394
84,1290908,3.210469378,0.71729
85,1290922,3.121781174,0.693141
86,1295740,3.890197341,0.739812
87,1295741,4.188921686,0.532706
88,1297446,3.702058059,0.71883
89,1297447,3.808491874,0.770038
90,1298134,2.930288584,0.905949
91,1298136,3.063534857,0.714867
92,1298141,3.413541285,0.797535
93,1298146,4.362433449,0.856401
94,1298151,3.442239818,0.702648
95,1298157,4.048073695,0.741729
96,1298168,3.337244167,0.716665
97,1298169,3.622783067,0.750891
98,1298216,3.787826552,0.732055
99,1298218,3.171808711,0.806227
100,1298219,3.183557001,0.759261
101,1298222,2.95012507,0.827064
102,1298223,3.471320523,0.794045
103,1298226,3.55607646,0.661253
104,1298347,3.645787143,0.984736
105,1298348,3.459583259,0.889882
106,1298349,3.828908369,0.881558
107,1298350,3.334511284,0.764484
108,1298357,3.475822613,0.818909
109,1298358,3.355483311,0.936274
110,1298359,3.186920466,0.770643
111,1298365,3.073233855,0.81095
112,1298475,3.195209268,0.764681
113,1298476,3.321883727,0.879267
114,1298526,3.84695786,0.771966
115,1298529,3.21171659,0.784912
116,1298533,3.853484892,0.809693
117,1298537,3.296193589,0.860298
118,1298538,3.265108443,0.798123
119,1298539,3.218488989,0.910005
120,1299050,3.4596191,0.883739
121,1299052,3.603322376,0.818406
122,1299059,3.368384894,0.743439
123,1299062,3.688803054,0.83798
124,1299064,3.297612179,0.727573
125,1299070,3.381229079,0.892434
126,1299075,3.51100049,0.858078
127,1299078,3.470726104,0.857559
128,1299080,3.326272861,0.683743
129,1299081,3.457863246,0.719954
130,1303896,3.530489833,0.691206
131,1303897,4.013474572,0.678695
132,1303900,3.477556693,0.676627
133,1303912,3.538541991,0.761682
134,1322212,4.175315865,0.834501
135,1322218,4.103883575,0.754581
136,1327766,3.684832593,0.703975
137,1327769,4.025446383,0.67041
138,1327773,3.610726578,0.722048
139,1327774,5.143255326,0.90014
140,1327775,3.252613478,0.783912
141,1330931,3.451670391,0.732735
142,1330933,4.282871759,0.721375
143,1330935,3.301802326,0.739362
144,1330941,3.359223261,0.884368
145,1330942,3.478567586,0.746567
146,1330947,3.423466951,0.692518
147,1330950,4.525330892,0.837479
148,1330964,3.138186411,0.820114
149,1330972,3.241828317,0.894594
150,1330973,3.112117653,0.967057
151,1330985,3.305475169,0.544346
152,1330987,6.066791039,0.787864
153,1330993,3.20463034,0.727146
154,1330995,4.00223571,0.757478
155,1331032,3.589436493,0.778867
156,1331033,4.722081577,0.726726
157,1331036,4.09029691,0.656238
158,1331037,5.019322359,0.683182
159,1331038,4.801499229,0.8148
160,1331039,3.838952428,0.694401
161,1331040,3.201251026,0.728982
162,1331045,4.498527668,0.841461
163,1331048,3.375985144,0.737422
164,1331049,3.621115247,0.760438
165,1331050,3.475160696,0.694007
166,1479987,3.167539124,0.848851
167,1479988,3.432549594,0.820679
168,1480362,3.219274965,0.801281
169,1480364,4.021698844,0.774174
170,1480372,3.494909083,0.805913
171,1503361,4.019414848,0.824659
172,1503362,3.592944771,0.78541
173,1503363,3.35945689,0.723022
174,1503364,3.671560911,0.820909
175,1503365,3.021596155,0.791164
176,1503366,3.277863124,0.871798
177,1503367,3.05593388,0.775306
178,1503368,3.747735621,0.773382
179,1503370,3.184557442,0.784657
180,1503371,3.145742624,0.813902
181,1524416,3.495396098,0.836642
182,1659818,4.020758462,0.715282
183,1659928,3.914571413,0.842821
184,1660034,3.22370172,0.724038
185,1660035,3.270170842,0.885077
186,1674021,3.696467528,0.754094
187,683665,3.791894488,0.642122
188,683667,3.422545274,0.663335
189,684052,3.684531156,0.770304
190,684059,3.289210151,0.781368
191,684062,3.585876372,0.813832
192,684072,3.352220763,0.802598
193,684681,3.555339526,0.847733
194,687448,3.134947723,0.748143
195,687452,3.243133196,0.747006
196,687455,3.335281678,0.845756
197,687457,3.283894953,0.832773
198,687459,3.90908406,0.807324
199,687505,5.245848027,0.805559
200,687506,3.744122608,0.746205
201,687514,3.229192506,0.837829
202,687561,3.492581305,0.806668
203,687562,4.128028597,0.727776
204,687563,3.359298441,0.628559
205,687568,3.205802676,0.738634
206,687586,3.345400002,0.757561
207,687588,3.312259359,0.726439
208,687590,3.51087621,0.817355
209,687600,3.270650792,0.81273
210,687777,3.418256866,0.810255
211,687780,3.411376679,0.700621
212,687787,3.516794747,0.865423
213,687798,3.237431974,0.882287
214,687799,3.256367241,0.832305
215,687800,3.071515079,0.740346
216,687802,3.424496081,0.667832
217,687807,3.517047972,0.936374
218,687812,3.225131401,0.754484
219,687815,3.727553786,0.799998
220,687816,2.848030847,0.805718
221,687819,3.697244334,0.913234
222,687820,3.186029736,0.803933
223,687821,3.276578231,0.846078
224,687829,3.604219416,0.876734
225,687980,6.210851813,0.847426
226,687983,3.97472512,0.795827
227,687985,3.365384748,0.763169
228,687995,3.28098953,0.828691
229,687997,3.402903011,0.77274
230,688001,3.374549187,0.601504
231,688006,3.213347917,0.846744
232,688010,3.565675351,0.761159
233,688013,4.028656251,0.709739
234,688014,3.741483002,0.696515
235,688023,3.674652926,0.682606
236,688025,3.192392823,0.859087
237,688026,3.620402418,0.889545
238,688027,3.566890005,0.728056
239,688031,3.27038833,0.863905
240,688058,3.259074649,0.718126
241,688086,3.710539004,0.750202
242,688087,3.183759588,0.779217
243,688121,3.730595529,0.780988
244,713869,4.321741979,0.964251
245,713880,3.58549049,0.800685
246,713899,3.496794356,0.841126
247,717431,3.946759956,0.795406
248,722046,3.575973029,0.873282
249,722066,4.108204776,0.873417
