,COSMIC_ID,gene_expr,IC50
124,1299064,3.297612179,-8.06661147417947
125,1299070,3.381229079,-5.5339184917427
126,1299075,3.51100049,-5.73240447546821
127,1299078,3.470726104,-5.983296356554
128,1299080,3.326272861,-8.31308149496494
129,1299081,3.457863246,-8.08220556487643
130,1303896,3.530489833,-8.57951985781135
131,1303897,4.013474572,-8.5139724513236
132,1303900,3.477556693,-8.58865788820034
133,1303912,3.538541991,-7.40355460416706
134,1322212,4.175315865,-6.15488184854709
135,1322218,4.103883575,-7.74773403198682
136,1327766,3.684832593,-8.54553140534305
137,1327769,4.025446383,-8.77001042562025
138,1327773,3.610726578,-8.2292897669901
139,1327774,5.143255326,-6.4681515351158
140,1327775,3.252613478,-7.39614780782714
141,1330931,3.451670391,-8.09781696791389
142,1330933,4.282871759,-8.30364338400744
143,1330935,3.301802326,-8.01114994872257
144,1330941,3.359223261,-4.78134672252826
145,1330942,3.478567586,-7.90647665272591
146,1330947,3.423466951,-8.64067425789959
147,1330950,4.525330892,-6.72792176148323
148,1330964,3.138186411,-5.69590861901884
149,1330972,3.241828317,-5.341141252294
150,1330973,3.112117653,0.0876292967835957
151,1330985,3.305475169,-10.1661165155538
152,1330987,6.066791039,-7.65802725434434
153,1330993,3.20463034,-8.00491750614593
154,1330995,4.00223571,-7.54420005831324
155,1331032,3.589436493,-7.55789123425128
156,1331033,4.722081577,-8.30510771947394
157,1331036,4.09029691,-9.06578022134297
158,1331037,5.019322359,-8.78914488994756
159,1331038,4.801499229,-7.46519807787416
160,1331039,3.838952428,-8.35993445911284
161,1331040,3.201251026,-8.32178238875654
162,1331045,4.498527668,-6.84048948474363
163,1331048,3.375985144,-8.04740487510011
164,1331049,3.621115247,-7.83444000394424
165,1331050,3.475160696,-8.5554513764442
166,1479987,3.167539124,-6.25608402027537
167,1479988,3.432549594,-5.689351570058
168,1480362,3.219274965,-5.82002367338652
169,1480364,4.021698844,-6.74453583757411
170,1480372,3.494909083,-5.7768293838623
171,1503361,4.019414848,-6.31999973867187
172,1503362,3.592944771,-7.06703588701442
173,1503363,3.35945689,-7.65339331787301
174,1503364,3.671560911,-6.70954471205238
175,1503365,3.021596155,-5.23165945372606
176,1503366,3.277863124,-5.57702766225951
177,1503367,3.05593388,-6.99223070644929
178,1503368,3.747735621,-7.14294761467592
179,1503370,3.184557442,-6.95882654547255
180,1503371,3.145742624,-6.98768333168041
181,1524416,3.495396098,-6.10299243601144
182,1659818,4.020758462,-8.38883741156202
183,1659928,3.914571413,-5.74893631794175
184,1660034,3.22370172,-7.44705474503994
185,1660035,3.270170842,-4.13137942462184
186,1674021,3.696467528,-7.28634284557004
